Serial_No,Shop_ID,Product_ID,Quantity_Sold_per_week,Sales_per-Week,Profit_per_week
104,SH08,D09,76,5320,1672
105,SH08,B04,104,9360,4264
106,SH08,B09,124,1860,496
107,SH09,D01,62,3720,1240
108,SH09,D02,50,2500,850
109,SH09,D04,61,6100,2806
110,SH09,D06,76,2660,1292
111,SH09,D08,72,5400,2304
112,SH09,D09,119,4760,1190
113,SH09,D08,127,20320,3810
114,SH09,S1,95,6175,2850
115,SH09,S2,98,5880,2156
116,SH09,B01,106,4240,1590
117,SH09,B03,90,900,360
118,SH09,D09,105,7350,2310
119,SH09,B04,100,9000,4100
120,SH09,B06,123,3690,1353
121,SH09,D10,54,1350,594
122,SH09,B09,114,1710,456
123,SH10,D04,120,12000,5520
124,SH10,D06,92,3220,1564
125,SH10,S1,99,6435,2970
126,SH10,S2,126,7560,2772
127,SH10,B01,83,3320,1245
128,SH10,B03,99,990,396
129,SH10,D09,70,4900,1540
130,SH10,B04,62,5580,2542
131,SH10,B09,118,1770,472
132,SH11,D04,85,8500,3910
133,SH11,D06,75,2625,1275
134,SH11,S1,115,7475,3450
135,SH11,B01,69,2760,1035
136,SH11,B03,59,590,236
137,SH11,D09,85,5950,1870
138,SH11,B04,99,8910,4059
139,SH11,B09,125,1875,500
140,SH11,D04,130,13000,5980
141,SH11,D06,93,3255,1581
142,SH11,S1,62,4030,1860
143,SH11,S2,129,7740,2838
144,SH11,B01,97,3880,1455
145,SH11,B03,93,930,372
146,SH11,D09,70,4900,1540
147,SH11,B09,76,1140,304
148,SH12,D04,123,12300,5658
149,SH12,D06,70,2450,1190
150,SH12,D08,74,11840,2220
151,SH12,S1,90,5850,2700
152,SH12,S2,101,6060,2222
153,SH12,B01,106,4240,1590
154,SH12,B03,72,720,288
155,SH12,D09,111,7770,2442
156,SH12,B09,124,1860,496
157,SH13,D01,100,6000,2000
158,SH13,D03,91,4550,1820
159,SH13,D04,97,9700,4462
160,SH13,D06,80,2800,1360
161,SH13,D08,119,8925,3808
162,SH13,D09,120,4800,1200
163,SH13,D08,105,16800,3150
164,SH13,S1,130,8450,3900
165,SH13,S2,111,6660,2442
166,SH13,B01,68,2720,1020
167,SH13,B03,113,1130,452
168,SH13,D09,87,6090,1914
169,SH13,B04,106,9540,4346
170,SH13,B05,92,1840,736
171,SH13,B06,120,3600,1320
172,SH13,D10,112,2800,1232
173,SH13,B08,61,4880,915
174,SH13,B09,121,1815,484
175,SH14,D01,54,3240,1080
176,SH14,D04,52,5200,2392
177,SH14,D06,112,3920,1904
178,SH14,D08,78,5850,2496
179,SH14,D08,121,19360,3630
180,SH14,S1,87,5655,2610
181,SH14,S2,50,3000,1100
182,SH14,B01,71,2840,1065
183,SH14,B03,100,1000,400
184,SH14,D09,106,7420,2332
185,SH14,B04,109,9810,4469
186,SH14,B09,94,1410,376
187,SH14,D01,107,6420,2140
188,SH14,D04,108,10800,4968
189,SH14,D06,92,3220,1564
190,SH14,D08,99,7425,3168
191,SH14,D08,85,13600,2550
192,SH14,S1,120,7800,3600
193,SH14,S2,91,5460,2002
194,SH14,B01,106,4240,1590
195,SH14,B03,123,1230,492
196,SH14,D09,116,8120,2552
197,SH14,B04,108,9720,4428
198,SH14,B09,95,1425,380
199,SH15,D01,113,6780,2260
200,SH15,D02,56,2800,952
201,SH15,D03,122,6100,2440
202,SH15,D04,74,7400,3404
203,SH15,D06,60,2100,1020
204,SH15,D08,103,7725,3296
205,SH15,D09,100,4000,1000
206,SH15,D08,77,12320,2310
207,SH15,S1,73,4745,2190
208,SH15,S2,115,6900,2530
209,SH15,B01,102,4080,1530
210,SH15,B03,58,580,232
211,SH15,D09,96,6720,2112
212,SH15,B04,114,10260,4674
213,SH15,D10,107,2675,1177
214,SH15,B09,66,990,264
215,SH16,D04,127,12700,5842
216,SH16,D06,109,3815,1853
217,SH16,D08,60,4500,1920
218,SH16,D09,119,4760,1190
219,SH16,S1,109,7085,3270
220,SH16,S2,57,3420,1254
221,SH16,B01,119,4760,1785
222,SH16,B03,107,1070,428
223,SH16,D09,123,8610,2706
224,SH16,D10,126,3150,1386
225,SH16,B09,113,1695,452
226,SH17,D04,66,6600,3036
227,SH17,D06,80,2800,1360
228,SH17,D08,71,5325,2272
229,SH17,D08,77,12320,2310
230,SH17,S1,103,6695,3090
231,SH17,S2,99,5940,2178
232,SH17,B01,90,3600,1350
233,SH17,B03,52,520,208
234,SH17,D09,53,3710,1166
235,SH17,B04,123,11070,5043
236,SH17,B05,50,1000,400
237,SH17,B06,51,1530,561
238,SH17,D10,90,2250,990
239,SH17,B09,75,1125,300
240,SH18,D04,65,6500,2990
241,SH18,D06,122,4270,2074
242,SH18,D08,100,7500,3200
243,SH18,D09,89,3560,890
244,SH18,S1,50,3250,1500
245,SH18,S2,79,4740,1738
246,SH18,B01,97,3880,1455
247,SH18,B03,55,550,220
248,SH18,D09,127,8890,2794
249,SH18,B09,50,750,200
250,SH19,D04,57,5700,2622
251,SH19,D06,76,2660,1292
252,SH19,D08,130,9750,4160
253,SH19,D09,63,2520,630
254,SH19,D08,114,18240,3420
255,SH19,S1,126,8190,3780
256,SH19,S2,67,4020,1474
257,SH19,B01,65,2600,975
258,SH19,B03,120,1200,480
259,SH19,D09,96,6720,2112
260,SH19,B04,99,8910,4059
261,SH19,B06,61,1830,671
262,SH19,B09,98,1470,392
263,SH20,D04,67,6700,3082
264,SH20,D06,119,4165,2023
265,SH20,D08,121,9075,3872
266,SH20,D09,119,4760,1190
267,SH20,D08,96,15360,2880
268,SH20,S1,127,8255,3810
269,SH20,S2,97,5820,2134
270,SH20,B01,83,3320,1245
271,SH20,B03,86,860,344
272,SH20,D09,64,4480,1408
273,SH20,B04,84,7560,3444
274,SH20,D10,100,2500,1100
275,SH20,B09,62,930,248
276,SH21,D01,108,6480,2160
277,SH21,D02,58,2900,986
278,SH21,D03,84,4200,1680
279,SH21,D04,123,12300,5658
280,SH21,D06,64,2240,1088
281,SH21,D08,89,6675,2848
282,SH21,D09,106,4240,1060
283,SH21,D08,128,20480,3840
284,SH21,S2,87,5220,1914
285,SH21,B01,93,3720,1395
286,SH21,B03,71,710,284
287,SH21,D09,87,6090,1914
288,SH21,B04,116,10440,4756
289,SH21,B05,57,1140,456
290,SH21,B06,101,3030,1111
291,SH21,D10,92,2300,1012
292,SH21,B09,63,945,252
293,SH22,B01,78,3120,1170
294,SH22,B03,57,570,228
295,SH22,D09,128,8960,2816
296,SH22,B04,113,10170,4633
297,SH22,B06,125,3750,1375
298,SH22,B09,96,1440,384
299,SH23,D01,100,6000,2000
300,SH23,B03,87,870,348
301,SH23,D09,121,8470,2662
302,SH23,B04,94,8460,3854
303,SH23,B06,109,3270,1199
304,SH23,D10,121,3025,1331
305,SH23,B09,80,1200,320
306,SH24,D04,121,12100,5566
307,SH24,D06,57,1995,969
308,SH24,S1,100,6500,3000
309,SH24,B01,107,4280,1605
310,SH24,B03,56,560,224
311,SH24,D09,87,6090,1914
312,SH24,B09,80,1200,320
313,SH25,B01,103,4120,1545
314,SH25,B03,128,1280,512
315,SH25,D09,119,8330,2618
316,SH25,B04,110,9900,4510
317,SH25,B06,89,2670,979
318,SH25,B09,125,1875,500
319,SH26,D01,95,5700,1900
320,SH26,D02,50,2500,850
321,SH26,B01,115,4600,1725
322,SH26,B03,77,770,308
323,SH26,D09,96,6720,2112
324,SH26,B04,126,11340,5166
325,SH26,B09,103,1545,412
326,SH27,D01,89,5340,1780
327,SH27,D02,93,4650,1581
328,SH27,D04,124,12400,5704
329,SH27,D06,89,3115,1513
330,SH27,D08,72,5400,2304
331,SH27,D09,77,3080,770
332,SH27,S1,82,5330,2460
333,SH27,S2,119,7140,2618
334,SH27,D09,78,5460,1716
335,SH27,B04,56,5040,2296
336,SH27,D10,93,2325,1023
337,SH28,D04,129,12900,5934
338,SH28,D06,74,2590,1258
339,SH28,S1,59,3835,1770
340,SH28,S2,85,5100,1870
341,SH28,B01,121,4840,1815
342,SH28,B03,128,1280,512
343,SH28,D09,68,4760,1496
344,SH28,B09,89,1335,356
345,SH29,D04,106,10600,4876
346,SH29,D06,68,2380,1156
347,SH29,S1,95,6175,2850
348,SH29,S2,95,5700,2090
349,SH29,B01,93,3720,1395
350,SH29,B03,69,690,276
351,SH29,D09,53,3710,1166
352,SH29,B04,118,10620,4838
353,SH29,B09,73,1095,292
354,SH30,D04,93,9300,4278
355,SH30,D06,71,2485,1207
356,SH30,D08,129,9675,4128
357,SH30,D09,113,4520,1130
358,SH30,D08,101,16160,3030
359,SH30,S1,126,8190,3780
360,SH30,S2,111,6660,2442
361,SH30,B01,106,4240,1590
362,SH30,B03,114,1140,456
363,SH30,D09,66,4620,1452
364,SH30,B09,121,1815,484
365,SH31,D04,111,11100,5106
366,SH31,D06,102,3570,1734
367,SH31,D08,99,7425,3168
368,SH31,D08,129,20640,3870
369,SH31,S1,123,7995,3690
370,SH31,S2,126,7560,2772
371,SH31,B01,87,3480,1305
372,SH31,B03,63,630,252
373,SH31,D09,102,7140,2244
374,SH31,B04,116,10440,4756
375,SH31,B06,111,3330,1221
376,SH31,B09,104,1560,416
377,SH32,D01,95,5700,1900
378,SH32,D02,71,3550,1207
379,SH32,D08,87,6525,2784
380,SH32,D09,99,3960,990
381,SH32,D08,116,18560,3480
382,SH32,S1,74,4810,2220
383,SH32,S2,109,6540,2398
384,SH32,B01,73,2920,1095
385,SH32,B03,113,1130,452
386,SH32,D09,69,4830,1518
387,SH32,B09,101,1515,404
388,SH33,D04,97,9700,4462
389,SH33,D06,75,2625,1275
390,SH33,D08,75,12000,2250
391,SH33,S1,91,5915,2730
392,SH33,S2,88,5280,1936
393,SH33,B01,89,3560,1335
394,SH33,B03,89,890,356
395,SH33,D09,53,3710,1166
396,SH33,B04,94,8460,3854
397,SH33,B09,107,1605,428
398,SH34,D08,124,19840,3720
399,SH34,B01,88,3520,1320
400,SH34,B03,92,920,368
401,SH34,D09,94,6580,2068
402,SH34,B04,77,6930,3157
403,SH34,B09,114,1710,456
404,SH35,D04,116,11600,5336
405,SH35,D06,112,3920,1904
406,SH35,S1,86,5590,2580
407,SH35,S2,84,5040,1848
408,SH35,B01,73,2920,1095
409,SH35,B03,62,620,248
410,SH35,D09,94,6580,2068
411,SH35,B09,87,1305,348
412,SH36,D04,106,10600,4876
413,SH36,D06,88,3080,1496
414,SH36,S1,65,4225,1950
415,SH36,S2,126,7560,2772
416,SH36,B01,71,2840,1065
417,SH36,B03,126,1260,504
418,SH36,D09,60,4200,1320
419,SH36,B09,76,1140,304
420,SH37,D04,121,12100,5566
421,SH37,D06,111,3885,1887
422,SH37,D08,55,4125,1760
423,SH37,D09,62,2480,620
424,SH37,D08,93,14880,2790
425,SH37,S1,90,5850,2700
426,SH37,S2,83,4980,1826
427,SH37,B01,77,3080,1155
428,SH37,B03,84,840,336
429,SH37,D09,118,8260,2596
430,SH37,B06,104,3120,1144
431,SH37,B09,114,1710,456
432,SH38,B01,82,3280,1230
433,SH38,B03,93,930,372
434,SH38,D09,106,7420,2332
435,SH38,B04,92,8280,3772
436,SH38,D10,109,2725,1199
437,SH38,B09,51,765,204
438,SH39,D04,68,6800,3128
439,SH39,D06,124,4340,2108
440,SH39,D08,106,7950,3392
441,SH39,D09,71,2840,710
442,SH39,D08,125,20000,3750
443,SH39,S1,129,8385,3870
444,SH39,S2,97,5820,2134
445,SH39,B01,108,4320,1620
446,SH39,B03,99,990,396
447,SH39,D09,126,8820,2772
448,SH39,B09,58,870,232
449,SH40,D01,127,7620,2540
450,SH40,D08,114,18240,3420
451,SH40,S1,99,6435,2970
452,SH40,S2,114,6840,2508
453,SH40,B01,116,4640,1740
454,SH40,B03,51,510,204
455,SH40,D09,118,8260,2596
456,SH40,B04,68,6120,2788
457,SH40,B06,119,3570,1309
458,SH40,D10,67,1675,737
459,SH40,B09,123,1845,492
460,SH41,D01,79,4740,1580
461,SH41,D04,81,8100,3726
462,SH41,D06,57,1995,969
463,SH41,D08,90,6750,2880
464,SH41,D09,124,4960,1240
465,SH41,D08,110,17600,3300
466,SH41,S1,101,6565,3030
467,SH41,S2,81,4860,1782
468,SH41,B01,96,3840,1440
469,SH41,B03,53,530,212
470,SH41,D09,54,3780,1188
471,SH41,B04,103,9270,4223
472,SH41,B06,130,3900,1430
473,SH41,D10,57,1425,627
474,SH41,B09,118,1770,472
475,SH42,D08,127,9525,4064
476,SH42,D09,106,4240,1060
477,SH42,D08,122,19520,3660
478,SH42,S1,83,5395,2490
479,SH42,S2,77,4620,1694
480,SH42,B01,61,2440,915
481,SH42,B03,98,980,392
482,SH42,D09,95,6650,2090
483,SH42,B04,78,7020,3198
484,SH42,B05,121,2420,968
485,SH42,B09,50,750,200
486,SH43,D04,103,10300,4738
487,SH43,D06,50,1750,850
488,SH43,S1,105,6825,3150
489,SH43,S2,130,7800,2860
490,SH43,B01,91,3640,1365
491,SH43,B03,50,500,200
492,SH43,D09,56,3920,1232
493,SH43,B09,120,1800,480
494,SH44,S1,108,7020,3240
495,SH44,S2,81,4860,1782
496,SH44,B03,129,1290,516
497,SH44,D09,116,8120,2552
498,SH44,B09,53,795,212
499,SH45,D04,92,9200,4232
500,SH45,D06,128,4480,2176
501,SH45,D08,109,8175,3488
502,SH45,D09,113,4520,1130
503,SH45,D08,101,16160,3030
504,SH45,S1,119,7735,3570
505,SH45,S2,52,3120,1144
506,SH45,B01,54,2160,810
507,SH45,B03,50,500,200
508,SH45,D09,98,6860,2156
509,SH45,B04,89,8010,3649
510,SH45,B09,106,1590,424
511,SH46,D08,91,14560,2730
512,SH46,D09,123,8610,2706
513,SH46,B04,80,7200,3280
514,SH46,B09,129,1935,516
515,SH47,D04,101,10100,4646
516,SH47,D06,109,3815,1853
517,SH47,D08,122,9150,3904
518,SH47,D09,83,3320,830
519,SH47,D08,71,11360,2130
520,SH47,S1,102,6630,3060
521,SH47,S2,122,7320,2684
522,SH47,B01,85,3400,1275
523,SH47,B03,75,750,300
524,SH47,D09,119,8330,2618
525,SH47,B04,106,9540,4346
526,SH47,B05,54,1080,432
527,SH47,B06,104,3120,1144
528,SH47,D10,96,2400,1056
529,SH47,B09,66,990,264
530,SH48,D04,75,7500,3450
531,SH48,D06,68,2380,1156
532,SH48,D08,107,8025,3424
533,SH48,D09,60,2400,600
534,SH48,D08,56,8960,1680
535,SH48,S1,99,6435,2970
536,SH48,S2,128,7680,2816
537,SH48,B01,108,4320,1620
538,SH48,B03,71,710,284
539,SH48,D09,102,7140,2244
540,SH48,B09,112,1680,448
541,SH49,D04,83,8300,3818
542,SH49,D06,102,3570,1734
543,SH49,S1,127,8255,3810
544,SH49,S2,122,7320,2684
545,SH49,B01,110,4400,1650
546,SH49,B03,62,620,248
547,SH49,D09,113,7910,2486
548,SH49,B06,113,3390,1243
549,SH49,B09,125,1875,500
550,SH50,D08,105,7875,3360
551,SH50,D09,91,3640,910
552,SH50,S1,70,4550,2100
553,SH50,S2,110,6600,2420
554,SH50,B01,88,3520,1320
555,SH50,B03,61,610,244
556,SH50,D09,123,8610,2706
557,SH50,B04,78,7020,3198
558,SH50,B05,86,1720,688
559,SH50,B06,91,2730,1001
560,SH50,D10,121,3025,1331
561,SH50,B08,68,5440,1020
562,SH50,B09,51,765,204
563,SH51,D01,82,4920,1640
564,SH51,D02,73,3650,1241
565,SH51,D03,127,6350,2540
566,SH51,D04,117,11700,5382
567,SH51,D06,94,3290,1598
568,SH51,D08,50,3750,1600
569,SH51,D09,124,4960,1240
570,SH51,D08,88,14080,2640
571,SH51,S1,119,7735,3570
572,SH51,S2,84,5040,1848
573,SH51,B01,99,3960,1485
574,SH51,B03,88,880,352
575,SH51,D09,116,8120,2552
576,SH51,B04,89,8010,3649
577,SH51,B06,129,3870,1419
578,SH51,D10,126,3150,1386
579,SH51,B09,93,1395,372
580,SH52,D01,101,6060,2020
581,SH52,D02,99,4950,1683
582,SH52,D03,118,5900,2360
583,SH52,D04,68,6800,3128
584,SH52,D06,73,2555,1241
585,SH52,D08,129,9675,4128
586,SH52,D09,118,4720,1180
587,SH52,D08,114,18240,3420
588,SH52,S1,120,7800,3600
589,SH52,S2,80,4800,1760
590,SH52,B01,116,4640,1740
591,SH52,B03,125,1250,500
592,SH52,D09,115,8050,2530
593,SH52,B04,57,5130,2337
594,SH52,D10,55,1375,605
595,SH52,B09,104,1560,416
596,SH53,D04,74,7400,3404
597,SH53,D06,103,3605,1751
598,SH53,S1,103,6695,3090
599,SH53,S2,114,6840,2508
600,SH53,B01,103,4120,1545
601,SH53,B03,100,1000,400
602,SH53,D09,65,4550,1430
603,SH53,B09,75,1125,300
604,SH54,D08,123,19680,3690
605,SH54,B01,91,3640,1365
606,SH54,B03,84,840,336
607,SH54,D09,80,5600,1760
608,SH54,B06,73,2190,803
609,SH54,B09,103,1545,412
610,SH55,D04,58,5800,2668
611,SH55,D08,51,8160,1530
612,SH55,S1,52,3380,1560
613,SH55,S2,108,6480,2376
614,SH55,B01,65,2600,975
615,SH55,B03,56,560,224
616,SH55,D09,99,6930,2178
617,SH55,B04,91,8190,3731
618,SH55,B09,104,1560,416
619,SH56,D04,108,10800,4968
620,SH56,D06,106,3710,1802
621,SH56,D08,113,8475,3616
622,SH56,D09,54,2160,540
623,SH56,D08,64,10240,1920
624,SH56,S1,129,8385,3870
625,SH56,S2,111,6660,2442
626,SH56,B01,84,3360,1260
627,SH56,B03,106,1060,424
628,SH56,D09,120,8400,2640
629,SH56,B09,53,795,212
630,SH57,S1,83,5395,2490
631,SH57,S2,81,4860,1782
632,SH57,B03,100,1000,400
633,SH57,D09,97,6790,2134
634,SH57,B09,106,1590,424
635,SH58,D08,98,15680,2940
636,SH58,B01,122,4880,1830
637,SH58,B03,60,600,240
638,SH58,D09,94,6580,2068
639,SH58,B04,106,9540,4346
640,SH58,B09,96,1440,384
641,SH58,D08,107,8025,3424
642,SH58,D09,98,3920,980
643,SH58,D08,109,17440,3270
644,SH58,S1,87,5655,2610
645,SH58,S2,74,4440,1628
646,SH58,B01,73,2920,1095
647,SH58,B03,91,910,364
648,SH58,D09,85,5950,1870
649,SH58,B04,86,7740,3526
650,SH58,D10,93,2325,1023
651,SH58,B08,82,6560,1230
652,SH58,B09,128,1920,512
653,SH58,B01,94,3760,1410
654,SH58,B03,100,1000,400
655,SH58,D09,123,8610,2706
656,SH58,B04,76,6840,3116
657,SH58,B06,70,2100,770
658,SH58,B09,66,990,264
659,SH59,D01,122,7320,2440
660,SH59,D02,59,2950,1003
661,SH59,D04,127,12700,5842
662,SH59,D06,121,4235,2057
663,SH59,D08,77,5775,2464
664,SH59,D09,63,2520,630
665,SH59,D08,91,14560,2730
666,SH59,S1,130,8450,3900
667,SH59,S2,108,6480,2376
668,SH59,B01,103,4120,1545
669,SH59,B03,93,930,372
670,SH59,D09,104,7280,2288
671,SH59,B04,114,10260,4674
672,SH59,B05,70,1400,560
673,SH59,B06,126,3780,1386
674,SH59,D10,120,3000,1320
675,SH59,B09,66,990,264
676,SH60,D06,114,3990,1938
677,SH60,D08,104,7800,3328
678,SH60,D09,91,3640,910
679,SH60,D08,97,15520,2910
680,SH60,S1,110,7150,3300
681,SH60,S2,69,4140,1518
682,SH60,B01,57,2280,855
683,SH60,B03,80,800,320
684,SH60,D09,71,4970,1562
685,SH60,B09,79,1185,316
686,SH61,D04,128,12800,5888
687,SH61,D06,126,4410,2142
688,SH61,D08,76,5700,2432
689,SH61,D09,109,4360,1090
690,SH61,S1,70,4550,2100
691,SH61,S2,88,5280,1936
692,SH61,B01,129,5160,1935
693,SH61,B03,123,1230,492
694,SH61,D09,60,4200,1320
695,SH61,B04,100,9000,4100
696,SH61,B09,94,1410,376
697,SH62,D04,93,9300,4278
698,SH62,D06,101,3535,1717
699,SH62,S1,58,3770,1740
700,SH62,B01,86,3440,1290
701,SH62,B03,123,1230,492
702,SH62,D09,74,5180,1628
703,SH62,B09,114,1710,456
704,SH63,D01,68,4080,1360
705,SH63,D04,90,9000,4140
706,SH63,D06,82,2870,1394
707,SH63,B01,65,2600,975
708,SH63,B03,89,890,356
709,SH63,D09,130,9100,2860
710,SH63,B09,106,1590,424
711,SH64,D04,95,9500,4370
712,SH64,D06,75,2625,1275
713,SH64,S1,61,3965,1830
714,SH64,B01,130,5200,1950
715,SH64,B03,67,670,268
716,SH64,D09,121,8470,2662
717,SH64,B09,94,1410,376
718,SH65,D04,110,11000,5060
719,SH65,D06,115,4025,1955
720,SH65,S1,69,4485,2070
721,SH65,B01,107,4280,1605
722,SH65,B03,116,1160,464
723,SH65,D09,77,5390,1694
724,SH65,B09,51,765,204
725,SH66,B01,83,3320,1245
726,SH66,B03,77,770,308
727,SH66,D09,119,8330,2618
728,SH66,B04,66,5940,2706
729,SH66,B06,106,3180,1166
730,SH66,B09,107,1605,428
731,SH67,D04,113,11300,5198
732,SH67,D06,62,2170,1054
733,SH67,S1,65,4225,1950
734,SH67,S2,127,7620,2794
735,SH67,B01,114,4560,1710
736,SH67,B03,56,560,224
737,SH67,D09,105,7350,2310
738,SH67,B09,113,1695,452
739,SH68,D08,111,17760,3330
740,SH68,S1,122,7930,3660
741,SH68,S2,111,6660,2442
742,SH68,B01,105,4200,1575
743,SH68,B03,118,1180,472
744,SH68,D09,55,3850,1210
745,SH68,B09,116,1740,464
746,SH69,D04,68,6800,3128
747,SH69,D06,58,2030,986
748,SH69,S1,79,5135,2370
749,SH69,B01,53,2120,795
750,SH69,B03,126,1260,504
751,SH69,D09,52,3640,1144
752,SH69,B04,54,4860,2214
753,SH69,B09,60,900,240
754,SH70,D04,123,12300,5658
755,SH70,D06,100,3500,1700
756,SH70,S1,129,8385,3870
757,SH70,B01,127,5080,1905
758,SH70,B03,59,590,236
759,SH70,D09,129,9030,2838
760,SH70,B04,50,4500,2050
761,SH70,B09,104,1560,416
762,SH71,D01,128,7680,2560
763,SH71,D08,104,16640,3120
764,SH71,S1,118,7670,3540
765,SH71,S2,84,5040,1848
766,SH71,B01,76,3040,1140
767,SH71,B03,72,720,288
768,SH71,D09,83,5810,1826
769,SH71,B09,69,1035,276
770,SH72,D08,92,14720,2760
771,SH72,B01,55,2200,825
772,SH72,B03,86,860,344
773,SH72,D09,127,8890,2794
774,SH72,B04,123,11070,5043
775,SH72,B09,52,780,208
776,SH73,D04,69,6900,3174
777,SH73,D06,95,3325,1615
778,SH73,S1,75,4875,2250
779,SH73,S2,102,6120,2244
780,SH73,B01,84,3360,1260
781,SH73,B03,82,820,328
782,SH73,D09,54,3780,1188
783,SH73,B04,63,5670,2583
784,SH73,B09,75,1125,300
785,SH74,D04,109,10900,5014
786,SH74,D06,84,2940,1428
787,SH74,D08,95,15200,2850
788,SH74,S1,50,3250,1500
789,SH74,S2,118,7080,2596
790,SH74,B01,68,2720,1020
791,SH74,B03,106,1060,424
792,SH74,D09,58,4060,1276
793,SH74,B04,75,6750,3075
794,SH74,B09,121,1815,484
795,SH75,D04,62,6200,2852
796,SH75,D06,129,4515,2193
797,SH75,S1,63,4095,1890
798,SH75,B01,95,3800,1425
799,SH75,B03,95,950,380
800,SH75,D09,58,4060,1276
801,SH75,B04,94,8460,3854
802,SH75,B09,92,1380,368
803,SH76,D04,84,8400,3864
804,SH76,D06,87,3045,1479
805,SH76,D08,103,16480,3090
806,SH76,S1,96,6240,2880
807,SH76,S2,90,5400,1980
808,SH76,B01,118,4720,1770
809,SH76,B03,72,720,288
810,SH76,D09,114,7980,2508
811,SH76,B04,50,4500,2050
812,SH76,B09,111,1665,444
813,SH77,D04,113,11300,5198
814,SH77,D06,75,2625,1275
815,SH77,S1,85,5525,2550
816,SH77,S2,52,3120,1144
817,SH77,B01,51,2040,765
818,SH77,B03,61,610,244
819,SH77,D09,123,8610,2706
820,SH77,B04,77,6930,3157
821,SH77,B09,50,750,200
822,SH77,D04,128,12800,5888
823,SH77,D06,112,3920,1904
824,SH77,S1,65,4225,1950
825,SH77,S2,65,3900,1430
826,SH77,B01,84,3360,1260
827,SH77,B03,127,1270,508
828,SH77,D09,85,5950,1870
829,SH77,B04,50,4500,2050
830,SH77,B09,50,750,200
831,SH78,D04,79,7900,3634
832,SH78,D06,123,4305,2091
833,SH78,S1,65,4225,1950
834,SH78,S2,89,5340,1958
835,SH78,B01,80,3200,1200
