Store_Id,Store_Name,SE_ID,Building_ID,BT_ID,Outlet_ID
SH106,Saipoorna Kirana General Store,SE05,B63,B002,OTL22
SH107,Shiva Bhavani Kirana General Store,SE05,B64,B002,OTL18
SH108,Fazal Kirana General Store,SE05,B65,B002,OTL22
SH109,Billal Dairy Ice Cram Parlor,SE05,B66,B004,OTL09
SH110,Shobha Kirana General Store,SE05,B61,B002,OTL22
SH111,Al Huda Bakery,SE05,B66,B001,OTL22
SH112,Ramalingeswara Kirana General Store,SE05,B38,B002,OTL02
SH113,Jaffer Kirana General Store,SE05,B66,B002,OTL22
SH114,Guru Raghavendra Kirana General Store,SE05,B67,B002,OTL22
SH115,Masqati Dairy,SE05,B68,B001,OTL22
SH116,Sarvar Kirana General Store,SE05,B69,B002,OTL02
SH117,Reliance Smart Point,SE01,B70,B009,OTL22
SH118,Shadab Bakery,SE01,B71,B001,OTL02
SH119,Yadagiri Traders,SE02,B72,B002,OTL02
SH120,Sri Laxmi Narshimha Cooldrinks,SE02,B72,B006,OTL02
SH121,J S Bakers,SE02,B73,B001,OTL18
SH122,Shiva Balaji Sweet House,SE02,B72,B008,OTL02
SH123,Sonakshi Bakery,SE02,B74,B001,OTL18
SH124,Om Sri Urukund Veeraswamy Kirana,SE02,B73,B002,OTL14
SH125,Shiva Kirana,SE02,B75,B002,OTL05
SH126,Shubham Kirana,SE02,B76,B002,OTL02
SH127,Ayyppa Kirana,SE02,B77,B002,OTL02
SH128,Parvathi Parameswara Kirana,SE02,B78,B002,OTL02
SH129,Balaji Ramsukh Mithai Bander,SE02,B73,B008,OTL18
SH130,Mahalaxmi Kirana,SE02,B79,B002,OTL02
SH131,Sri Ganesh Kirana,SE02,B78,B002,OTL02
SH132,Deemaal Supermarket,SE02,B73,B007,OTL01
SH133,Bangloor Iyengar Bakery,SE02,B80,B001,OTL01
SH134,Ramdev Kirana,SE02,B81,B002,OTL02
SH135,K Chandra Sekhar Kirana,SE02,B82,B002,OTL02
SH136,Parameswara Kirana,SE02,B81,B002,OTL02
SH137,Siri Kirana,SE02,B81,B002,OTL02
SH138,Sri Rama Dhani Kirana,SE02,B79,B002,OTL05
SH139,Bhagyasree Kirana,SE02,B81,B002,OTL02
SH140,Balaji Mangilal Kirana,SE02,B78,B002,OTL02
SH141,Akhil Kirana,SE02,B83,B002,OTL02
SH142,Harsha Bakery,SE02,B84,B001,OTL02
SH143,Slj Bangloor Iyengar Bakery,SE02,B79,B001,OTL05
SH144,Manikanta Kirana,SE02,B85,B002,OTL01
SH145,Balaji Raju Mithai Bander,SE02,B79,B008,OTL02
SH146,Sri Sriya Devi Kirana,SE02,B81,B002,OTL02
SH147,Sri Bhaghavathi Kirana,SE02,B84,B002,OTL02
SH148,Laxmi Prasanna Kirana,SE02,B81,B002,OTL02
SH149,Sri Sai Madhu Ice Cream Parlour,SE02,B78,B004,OTL02
SH150,Happy Bakers,SE02,B86,B001,OTL01
SH151,Pariwar Drive ,SE06,B73,B006,OTL18
SH152,Pariwar Cooldrinks,SE06,B73,B006,OTL18
SH153,Silicon Valley Bakery,SE03,B87,B001,OTL02
SH154,Bake Point ,SE03,B88,B001,OTL10
SH155,Ridhi Enterprises,SE03,B89,B009,OTL05
SH156,Raghavis Kiran General Mart,SE07,B90,B002,OTL02
SH157,Gopal Provision Kirana Stores ,SE08,B91,B002,OTL22
SH158,Bake N Joy Bakery,SE08,B91,B001,OTL01
SH159,Jaya Super Market,SE08,B91,B007,OTL01
SH160,Tips Topsy Food Hub,SE08,B92,B006,OTL18
SH161,Bon A Petit Frush Juice N Drinks ,SE08,B92,B006,OTL18
SH162,Shalimar Sweets,SE08,B92,B008,OTL19
SH163,Muskan General Store,SE08,B91,B009,OTL02
SH164,Wow Super Market,SE08,B93,B007,OTL17
SH165,Lakhani Kirana General Store,SE08,B91,B002,OTL02
SH166,New Sri Balaji Medical General Store,SE08,B91,B003,OTL17
SH167,Cakes Hub,SE08,B91,B001,OTL03
SH168,Bilal Kirana General Store,SE08,B91,B002,OTL18
SH169,Vishal Mart,SE08,B91,B002,OTL02
SH170,Sangameshwara Kirana General Store,SE08,B91,B002,OTL02
SH171,Sri Sai Kirana General Store,SE08,B91,B002,OTL18
SH172,Sai Charan Kirana General Store,SE08,B91,B002,OTL18
SH173,Ma Kirana General Store,SE08,B91,B002,OTL17
SH174,D M Kirana General Store,SE08,B94,B002,OTL07
SH175,Ghansham Super Market,SE08,B91,B007,OTL07
SH176,Sri Sai Medical General Store,SE08,B91,B003,OTL03
SH177,Cake Boyzs Bakery,SE08,B91,B001,OTL07
SH178,Sri Balaji Traders,SE08,B91,B002,OTL01
SH179,Heritage Fresh,SE08,B91,B007,OTL01
SH180,Nagendra Traders,SE08,B95,B002,OTL01
SH181,Jai Balaji Traders,SE08,B91,B002,OTL07
SH182,Advaid Supar Mart,SE08,B91,B007,OTL05
SH183,Balaji Rajaram Sweets,SE08,B92,B008,OTL18
SH184,Sri Balaji Store,SE08,B91,B009,OTL05
SH185,Haks Kirana General Store,SE08,B96,B002,OTL13
SH186,Crystal Sweets And Bakery,SE08,B97,B001,OTL18
SH187,Hkgnr Ice Cream And Kirana Store,SE08,B98,B004,OTL01
SH188,Uma Ice Cream Parlour,SE08,B98,B004,OTL01
SH189,Ibrahim Kirana,SE09,B99,B009,OTL22
SH190,Dubai Mart,SE06,B99,B005,OTL22
SH191,K G N Mini Mart,SE02,B100,B009,OTL02
SH192,Mangaldeep Kirana,SE04,B101,B002,OTL02
SH193,D S Family Restaurant And Bakery,SE04,B102,B001,OTL02
SH194,Sri Venkateswara Mart,SE04,B103,B007,OTL01
SH195,Sai Raghavendra Bakary,SE04,B103,B001,OTL01
SH196,Jash Bakers,SE04,B104,B001,OTL01
SH197,Divya Bakers,SE04,B103,B001,OTL01
SH198,Sai Tipsy Topsy Bakery,SE04,B102,B001,OTL01
SH199,Peoples Mart Supermarket,SE04,B103,B007,OTL18
SH200,Mataji Kirana And General,SE04,B105,B002,OTL02
SH201,Sri Laxmi Narshimha Kirana And General,SE04,B106,B002,OTL02
SH202,Ganesh Kirana,SE04,B107,B002,OTL05
SH203,Vinayaka Kirana,SE04,B108,B002,OTL02
SH204,Pavan Kirana And General,SE04,B108,B002,OTL01
SH205,Balaji Tanvi Mithai Bander,SE04,B103,B008,OTL01
SH206,Balaji Kirana,SE04,B103,B002,OTL13
SH207,Sri Sai Ram Bakers,SE04,B108,B001,OTL05
SH208,Sagar Kirana,SE04,B103,B002,OTL05
SH209,Shiv Shakthi Kiranz And General,SE04,B103,B002,OTL01
SH210,Groceries Sri Venkataramana Supermarket,SE04,B108,B007,OTL18
SH211,Shiv Bagawan Kirana,SE04,B109,B002,OTL05
SH212,New Mayuri Kirana,SE04,B110,B002,OTL02
SH213,Sri Sai Kirana,SE04,B111,B002,OTL05
SH214,Gupta Kirana,SE04,B112,B002,OTL02
SH215,Sai Laxmi Kirana,SE04,B111,B002,OTL05
SH216,Bhavani Sweet House,SE04,B113,B008,OTL02
SH217,Laxmi Kirana,SE04,B113,B002,OTL02
SH218,Sri Laxmi Kirana,SE04,B113,B002,OTL02
SH219,Sri Ramanjaneya Kirana,SE04,B114,B002,OTL02
SH220,Likhita Bakers,SE04,B115,B001,OTL01
SH221,Megha Kirana,SE04,B116,B002,OTL02
SH222,Manasa Kirana,SE04,B117,B002,OTL02
SH223,Second Home Bakers,SE04,B103,B001,OTL05
SH224,Annapurna Traders,SE04,B118,B002,OTL02
SH225,S R Kirana ,SE04,B119,B002,OTL02
SH226,Nrbym Kirana,SE04,B120,B002,OTL02
SH227,Mi Masqati Icecream Parlour,SE04,B121,B004,OTL18
SH228,Rs Supermart,SE04,B103,B007,OTL01
SH229,Roasty Teasty Bakers,SE04,B121,B001,OTL02
SH230,Bharathi Milk Parlour And Kirana,SE04,B120,B002,OTL02
SH231,B S Bakers,SE04,B103,B001,OTL18
SH232,Kumara Swamy Kirana And General,SE04,B123,B002,OTL02
SH233,Laxman Kirana,SE04,B120,B002,OTL02
SH234,Bangalore Iyengar Bakery,SE04,B124,B001,OTL01
SH235,New Healthcare Medical,SE02,B125,B003,OTL22
SH236,Shahinsha Bakery,SE02,B126,B001,OTL03
SH237,Adil Icecream,SE02,B126,B004,OTL05
SH238,A1 Cooldrinks,SE02,B126,B006,OTL05
SH239,Makka Cooldrinks,SE02,B126,B006,OTL18
SH240,Feroz Bakery,SE02,B126,B001,OTL03
SH241,Farooq And Sons Ice Cream Parlour,SE02,B125,B004,OTL22
SH242,Deccan Bakers And Sweet House,SE02,B127,B001,OTL22
SH243,Shiva Bakery,SE03,B128,B001,OTL19
SH244,Sri Bajrang Kirana Stores,SE03,B129,B002,OTL22
SH245,Siddivinayaka Traders ,SE03,B129,B002,OTL22
SH246,S S P K G S,SE03,B130,B002,OTL19
SH247,Sai Ram Bakery,SE03,B129,B001,OTL19
SH248,Balaji Aditya Mithai Bhandar,SE03,B131,B008,OTL19
SH249,Sai Ganesh Medical,SE03,B132,B003,OTL22
SH250,New Gavrav Supermarket,SE03,B133,B007,OTL22
SH251,Navya Traders ,SE03,B132,B002,OTL22
SH252,Gita K G S,SE03,B129,B002,OTL22
SH253,Deepa Traders,SE03,B128,B002,OTL05
SH254,Balaji Hanuman Mithai Bhandar,SE03,B131,B008,OTL19
SH255,Sri Kamakshi K G S,SE03,B134,B002,OTL19
SH256,Siddarda Kiranam Genarls,SE03,B135,B002,OTL02
SH257,Om Sri Sairam General Store,SE03,B136,B002,OTL22
SH258,H M Bakary,SE03,B137,B001,OTL22
SH259,Sri Balaji Bakery,SE04,B121,B001,OTL02
SH260,Mowgly Bakery,SE04,B138,B001,OTL01
SH261,Sri Venkateswara Bakery,SE04,B121,B001,OTL10
SH262,Sri Delhi Mithai Wala,SE04,B102,B008,OTL01
SH263,Sai Raghavendra Bakers,SE04,B139,B001,OTL01
SH264,Vilok Mart,SE04,B140,B007,OTL01
SH265,Oven Basket Bakery,SE04,B138,B001,OTL01
SH266,Sai Raghavendra Bakery,SE04,B139,B001,OTL05
SH267,Sri Sai Bakery,SE04,B141,B001,OTL02
SH268,Tirumala Kirana General Store,SE04,B142,B002,OTL02
SH269,Maqqavi Kirana General Store,SE04,B143,B002,OTL02
SH270,Bismilla Kirana General Store,SE04,B143,B010,OTL02
SH271,Taj Ice Cream Parlour,SE04,B143,B004,OTL02
SH272,Sri Balaji Suraj Mithai Bandar,SE04,B144,B008,OTL01
SH273,Mohammed Ice Cream Parlour,SE04,B143,B004,OTL02
SH274,Royal Baker Zone,SE08,B145,B001,OTL02
SH275,A Klas Bakery,SE08,B146,B001,OTL02
SH276,Ratnadeep ,SE08,B147,B007,OTL02
SH277,Balaji Grand Bazar,SE08,B148,B007,OTL05
SH278,North East Hub,SE08,B149,B002,OTL02
SH279,Bombay Kirana And General Store,SE08,B147,B009,OTL02
SH280,Sri Srinivasa Kirana And General Store,SE08,B150,B002,OTL02
SH281,Sai Vamshi Kiranam And General Stores,SE08,B151,B002,OTL02
SH282,Sk Stationary And General,SE08,B151,B002,OTL02
SH283,Shiva Balaji Bakery,SE08,B152,B001,OTL22
SH284,Santosh Kirana And General Store,SE08,B153,B002,OTL02
SH285,Shree Home Needs,SE08,B154,B002,OTL22
SH286,Ratnadeep,SE08,B153,B007,OTL18
SH287,Jyothi Kiranam And General Stores,SE08,B151,B002,OTL02
SH288,S V Kirana And General Store,SE08,B155,B002,OTL02
SH289,Sri Sai Kirana And General Store,SE08,B150,B002,OTL02
SH290,Familia Medical,SE08,B156,B003,OTL01
SH291,Shree Satya Kirana And General Store,SE08,B152,B002,OTL22
SH292,Sarvi Bakers Restaurent,SE08,B153,B001,OTL18
SH293,Om Varala Sai Kirana And General Store,SE08,B157,B002,OTL22
SH294,Sai Market,SE08,B158,B002,OTL07
SH295,Yella Dhanraj Kirana And General Store,SE08,B152,B002,OTL22
SH296,Ar Kiranam And General Stores,SE08,B151,B002,OTL02
SH297,Krishna Kirana,SE08,B153,B002,OTL02
SH298,Anand Goud Kirana And General Store,SE08,B157,B002,OTL22
SH299,Srinivasa Kirana And General Store,SE08,B157,B002,OTL15
SH300,Sana Pharmacy,SE08,B153,B003,OTL18
SH301,Maa Vishnu Traders,SE08,B98,B002,OTL02
SH302,Sri Srinivasa Medical And General Stores,SE08,B152,B003,OTL15
SH303,Sri Marudhar Stores,SE08,B152,B002,OTL22
SH304,Om Sai Jai Sai Kirana And General Store,SE08,B152,B002,OTL22
SH305,Unique Kirana And General Store,SE08,B159,B002,OTL02
SH306,Sai Srinivash Kirana General Store,SE08,B98,B002,OTL02
SH307,Grand Naa Bakery,SE08,B159,B001,OTL02
SH308,Keerthi Kirana And General Store,SE08,B152,B002,OTL22
SH309,Safa Marwa Kirana General Store,SE08,B160,B002,OTL22
SH310,Shri Balaji Mithaiwala,SE01,B161,B008,OTL01
SH311,Agra Sweets Chat And Namkeen,SE01,B162,B008,OTL01
SH312,Vigneshwara Agencies Medical General Store ,SE01,B163,B003,OTL02
SH313,Baba Keiran General,SE01,B161,B009,OTL01
SH314,Sri Veerabadra Kirana General Stores,SE01,B164,B002,OTL02
SH315,Jyothi Kirana General Stores,SE01,B161,B002,OTL02
SH316,American Bakers And Confectionery,SE01,B166,B001,OTL02
SH317,Kirana Ghar Liberty,SE01,B164,B007,OTL02
SH318,Banglore Iyengar L J Bakery,SE01,B167,B001,OTL01
SH319,Siri Bakery,SE01,B164,B001,OTL01
SH320,Sujay Rice And Milk Parlour,SE01,B168,B002,OTL01
SH321,Shudhiva Fruits Vegetables,SE01,B164,B007,OTL02
SH322,Amul Ice Cream Parlour,SE01,B164,B004,OTL01
SH323,R K Bakers,SE01,B164,B001,OTL01
SH324,The Oven Bakery,SE01,B169,B001,OTL01
SH325,Siddi Vinayaka Kirana General Stores,SE01,B171,B002,OTL05
SH326,Arjun Patei,SE01,B172,B009,OTL01
SH327,Sai Kiranam,SE01,B173,B002,OTL02
SH328,Dilip Cooldrinks,SE06,B174,B006,OTL18
SH329,Karachi Bakery,SE06,B174,B001,OTL09
SH330,S L J Bangalore Iyengar Bakery,SE03,B175,B001,OTL01
SH331,Ravindra Kirana Traders,SE03,B176,B009,OTL05
SH332,Green Mini Supper Market,SE03,B177,B007,OTL02
SH333,Slv Banglore Iynger Bakery,SE05,B178,B001,OTL01
SH334,Arihanth Super Bazar,SE05,B179,B007,OTL06
SH335,Sushma Kirana And General Store,SE05,B180,B002,OTL02
SH336,Anirudh Provision Store,SE05,B181,B002,OTL01
SH337,Beruji Kgs,SE05,B182,B009,OTL02
SH338,Krishna Medical And General Store,SE05,B183,B003,OTL02
SH339,Pavan Kgs,SE05,B179,B002,OTL13
SH340,Mana Super Market,SE05,B185,B007,OTL05
SH341,Jaya Lakshmi Super Market,SE05,B186,B007,OTL05
SH342,Yours Universe Bakers And Cakes,SE05,B187,B001,OTL01
SH343,Sri Balaji Laxmi Mithai Bandar,SE05,B188,B008,OTL01
SH344,Sri Sai Bekary,SE05,B188,B001,OTL01
SH345,Vasavi Kirana And General Store,SE05,B189,B002,OTL02
SH346,Omega Bakers,SE05,B188,B001,OTL01
SH347,Tirumala Kgs,SE05,B190,B009,OTL02
SH348,N Joy Bakery,SE05,B191,B001,OTL22
SH349,Shivam Bekary,SE05,B192,B001,OTL01
SH350,Sri Balaji Navarathan Mithai Bandar,SE05,B188,B008,OTL01
SH351,Jai Sri Ram Bakery,SE05,B193,B001,OTL02
SH352,Srinivasa Bakery,SE05,B194,B001,OTL02
SH353,Ushodaya Super Market,SE05,B195,B007,OTL10
SH354,Jai Ganesh Kirana And General Store,SE05,B196,B002,OTL02
SH355,S V R Super Market,SE05,B197,B007,OTL05
SH356,Sri Ganesh Kirana General Store,SE05,B198,B002,OTL05
SH357,Sri Sai Trades Kirana Shop And Pooja Store,SE05,B199,B009,OTL02
SH358,Sri Sai Vashanavi Super Market,SE05,B192,B007,OTL02
SH359,Rajan Bakery,SE05,B200,B001,OTL02
SH360,Fresh Basket Super Market,SE05,B201,B007,OTL05
SH361,Sri Balaji Prasharam Mithai Shop,SE05,B192,B008,OTL02
SH362,Sai Ram Sweets And Bakery,SE05,B202,B001,OTL02
SH363,Shanker Provision Store,SE03,B204,B002,OTL02
SH364,Sri Balaji Mithai Wala,SE03,B205,B008,OTL18
SH365,Choice Kirana General Store,SE03,B206,B002,OTL05
SH366,Nakoda Communications,SE03,B206,B002,OTL22
SH367,Ghanshyam Super Market,SE03,B205,B007,OTL18
SH368,Ruchi Banglore Bakery,SE03,B207,B001,OTL18
SH369,Rishab Mithai Vatika,SE03,B208,B008,OTL22
SH370,City Ice Cream Parlour,SE03,B207,B001,OTL18
SH371,Swastik Stores,SE03,B209,B002,OTL18
SH372,Jai Somnath Sweet House,SE03,B210,B008,OTL22
SH373,Delicious Bakery,SE03,B211,B001,OTL05
SH374,Prakash Provision Store,SE03,B212,B002,OTL02
SH375,Ram Provision Center,SE03,B213,B002,OTL02
SH376,Sri Balaji Shankar Lal Mithai Bandar,SE03,B211,B008,OTL18
SH377,New Banglore Iyengar Bakery,SE03,B214,B001,OTL18
SH378,Pallavi Medical General Store,SE03,B216,B003,OTL18
SH379,Sri Manikantha Groceries,SE03,B217,B002,OTL02
SH380,Abraham Kirana General Store,SE03,B218,B002,OTL15
SH381,Balaji Kirana And General Store,SE03,B219,B002,OTL15
SH382,Shyam Provision Stores,SE03,B220,B002,OTL15
SH383,Lalitha Parmaheswari Kirana And General Store,SE03,B221,B002,OTL15
SH384,Sri Mathaji Wholesale And Retail,SE03,B221,B002,OTL15
SH385,Tharuni Super Market,SE03,B207,B007,OTL21
SH386,Bhagylaxmi Kiranam Wholesale,SE04,B222,B002,OTL02
SH387,Spicy Bakery,SE04,B223,B001,OTL02
SH388,Sony Bakery,SE04,B224,B001,OTL01
SH389,New Balaji Mithai Bandar,SE04,B225,B008,OTL12
SH390,Srinivasa Kirana General Store,SE04,B226,B002,OTL05
SH391,Jai Bhavani Generalstore,SE04,B227,B009,OTL05
SH392,Balaji Bharath Kirana General Store,SE04,B228,B002,OTL02
SH393,Sri Sai Baba Kirana And Genral Store,SE09,B229,B002,OTL09
SH394,Sri Laxmi Sai Kirana General Store,SE09,B230,B002,OTL05
SH395,Bharath Kirana General Store,SE09,B231,B002,OTL02
SH396,Sri Laxmi Srinivasa Kirana General Store,SE09,B232,B002,OTL02
SH397,Ambica Kirana General Store,SE09,B233,B002,OTL02
SH398,Sri Rama Bakery,SE09,B234,B001,OTL06
SH399,Srikanth Kirana General Store,SE09,B235,B002,OTL05
SH400,Sony Kirana General Store,SE09,B231,B002,OTL22
SH401,Dhanalaxmi Kirana General Store,SE09,B236,B002,OTL02
SH402,Sri Sai Santhosh Kirana General Store,SE09,B237,B002,OTL09
SH403,Rajitha Kirana General Store,SE09,B238,B002,OTL02
SH404,Shiv Shakthi Kirana General Store,SE09,B234,B002,OTL18
SH405,Sri Balaji Kirana General Store,SE09,B235,B002,OTL02
SH406,Banglore Iyyangar Bakery,SE09,B239,B001,OTL02
SH407,Sri Balaji Super Mart,SE02,B240,B007,OTL02
SH408,Ganesh Kirana General Store,SE02,B241,B002,OTL02
SH409,Al Affroz Kirana General Store,SE02,B242,B002,OTL02
SH410,Shah Ghouse Bakers,SE02,B243,B001,OTL02
SH411,Shoiab Kirana General Store,SE02,B244,B002,OTL02
SH412,Rehan Kirana General Store,SE02,B243,B002,OTL02
SH413,Abdullah Kirana General Store,SE02,B245,B002,OTL02
SH414,Nikhil Kirana General Store,SE02,B246,B002,OTL02
SH415,Prashanth Kirana General Store,SE02,B242,B002,OTL02
SH416,Al Shifa Medical Hall,SE02,B243,B003,OTL02
SH417,Health Max,SE02,B247,B003,OTL02
SH418,Vijaya Cool Drinks,SE02,B248,B006,OTL22
SH419,Khaled Kirana Store,SE02,B249,B002,OTL02
SH420,A To Z Kirana General Store,SE02,B250,B002,OTL22
SH421,Vaani Kirana General Store,SE02,B251,B002,OTL22
SH422,Maqqavi Ice Cream Parlour,SE02,B252,B004,OTL22
SH423,Mashallah Kirana General Store,SE02,B253,B002,OTL02
SH424,Sri Vishnu Kirana General Store,SE02,B254,B002,OTL02
SH425,New Ali Traders,SE02,B255,B009,OTL22
SH426,Harshitha Kirana General Store,SE02,B256,B002,OTL02
SH427,Nawaz Bakers,SE02,B257,B001,OTL02
SH428,Dawood Boghdadi Kirana General Store,SE02,B258,B002,OTL22
SH429,S V S Kirana General Store,SE02,B259,B002,OTL02
SH430,Asif Kirana General Store,SE02,B247,B002,OTL02
SH431,Grand Imperial Bakers Sweets,SE02,B260,B001,OTL13
SH432,Madina Kirana General Store,SE02,B261,B002,OTL22
SH433,Be Happy Store,SE02,B262,B001,OTL22
SH434,Sanju Nayak Kirana General Store,SE02,B263,B002,OTL02
SH435,Sajid Kirana General Store,SE02,B243,B002,OTL02
SH436,Al Wahed Bakery,SE02,B260,B001,OTL02
